,x,y,z,vx,vy,vz,roll,pitch,yaw
0.1905,-0.0005286185092216276,0.0002644943170636532,10.04847884281878,-0.011107327290926674,0.005559503645868114,0.5089486164255629,-0.007018965858088588,-0.0070187934018806075,2.4598078529893994e-05
0.19060000000000002,-0.0005297292419507203,0.00026505026742824,10.048529737680422,-0.011124815871228204,0.00556826328570595,0.5092155916774957,-0.007026335093058389,-0.0070261620928775415,2.4649774104793335e-05
0.1907,-0.000530841723537843,0.0002656070937568106,10.04858065923959,-0.011142322779350875,0.005577032121713445,0.5094825668002636,-0.007033708195125943,-0.0070335346495431494,2.4701551122104522e-05
0.1908,-0.0005319559558157781,0.00026616479696898196,10.04863160749627,-0.011159848024840843,0.005585810158714499,0.5097495417936629,-0.00704108516429347,-0.007040911071876543,2.4753409667329555e-05
0.19090000000000001,-0.0005330719406182622,0.0002667233779848534,10.04868258245045,-0.011177391617244153,0.005594597401533009,0.5100165166574901,-0.0070484660005627475,-0.007048291359876391,2.4805349826015324e-05
0.191,-0.0005341896797799866,0.0002672828377250067,10.048733584102116,-0.011194953566106737,0.00560339385499287,0.5102834913915414,-0.007055850703935551,-0.007055675513541804,2.485737168375362e-05
0.19110000000000002,-0.0005353091751365973,0.000267843177110506,10.048784612451255,-0.011212533880974413,0.005612199523917974,0.5105504659956126,-0.0070632392744141015,-0.007063063532871894,2.4909475326181113e-05
0.1912,-0.0005364304285246947,0.0002684043970628978,10.048835667497855,-0.011230132571392892,0.00562101441313221,0.5108174404694996,-0.007070631712000619,-0.007070455417865329,2.4961660838979384e-05
0.1913,-0.0005375534417818341,0.000268966498504211,10.048886749241902,-0.011247749646907768,0.005629838527459467,0.5110844148129978,-0.00707802801669688,-0.007077851168521665,2.5013928307874895e-05
0.19140000000000001,-0.0005386782167465248,0.0002695294823569569,10.048937857683383,-0.011265385117064527,0.005638671871723627,0.5113513890259026,-0.007085428188504661,-0.00708525078483957,2.5066277818639005e-05
0.1915,-0.0005398047552582312,0.00027009334954412927,10.048988992822284,-0.01128303899140854,0.005647514450748573,0.5116183631080091,-0.0070928322274266264,-0.007092654266817711,2.5118709457087966e-05
0.19160000000000002,-0.0005409330591573721,0.00027065810098920415,10.049040154658595,-0.011300711279485069,0.005656366269358185,0.5118853370591122,-0.0071002401334641085,-0.007100061614455644,2.5171223309082922e-05
0.1917,-0.0005420631302853206,0.00027122373761613995,10.0490913431923,-0.01131840199083926,0.00566522733237634,0.5121523108790065,-0.007107651906619772,-0.007107472827752037,2.522381946052992e-05
